revision,n_new_ch99,n_removed_ch99,n_rate_changes,top_new_ch99
Revision 1,1,0,1,9903.90.08
Revision 10,2,0,13,"9903.90.08, 9903.91.05"
Revision 11,2,0,1,"9903.90.08, 9903.91.05"
Revision 12,2,0,1,"9903.90.08, 9903.91.05"
Revision 13,2,0,1,"9903.90.08, 9903.91.05"
Revision 14,2,0,13,"9903.90.08, 9903.91.05"
Revision 15,2,0,1,"9903.90.08, 9903.91.05"
Revision 16,3,1,6,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 17,3,1,6,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 18,3,1,7,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 19,3,1,7,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 2,2,0,1,"9903.90.08, 9903.91.05"
Revision 20,3,1,7,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 21,3,1,7,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 22,3,1,7,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 23,3,1,10,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 24,3,1,12,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 25,3,1,14,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 26,3,1,17,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 27,3,1,17,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 28,3,1,17,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 29,3,1,17,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 3,2,0,1,"9903.90.08, 9903.91.05"
Revision 30,3,1,17,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 31,3,1,17,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 32,3,1,22,"9903.88.15, 9903.90.08, 9903.91.05"
Revision 4,2,0,13,"9903.90.08, 9903.91.05"
Revision 5,2,0,1,"9903.90.08, 9903.91.05"
Revision 6,2,0,13,"9903.90.08, 9903.91.05"
Revision 7,2,0,1,"9903.90.08, 9903.91.05"
Revision 8,2,0,1,"9903.90.08, 9903.91.05"
Revision 9,2,0,1,"9903.90.08, 9903.91.05"
