hts10,ch99_code
7406100000,9903.78.01
7406200000,9903.78.01
7407101500,9903.78.01
7407103000,9903.78.01
7407105000,9903.78.01
7407211500,9903.78.01
7407213000,9903.78.01
7407215000,9903.78.01
7407217000,9903.78.01
7407219000,9903.78.01
7407291600,9903.78.01
7407293400,9903.78.01
7407293800,9903.78.01
7407294000,9903.78.01
7407295000,9903.78.01
7408113000,9903.78.01
7408116000,9903.78.01
7408190000,9903.78.01
7408210000,9903.78.01
7408221000,9903.78.01
7408225000,9903.78.01
7408291000,9903.78.01
7408295000,9903.78.01
7409111000,9903.78.01
7409115000,9903.78.01
7409191000,9903.78.01
7409195000,9903.78.01
7409199000,9903.78.01
7409210000,9903.78.01
7409290000,9903.78.01
7409311000,9903.78.01
7409315000,9903.78.01
7409319000,9903.78.01
7409391000,9903.78.01
7409395000,9903.78.01
7409399000,9903.78.01
7409400000,9903.78.01
7409901000,9903.78.01
7409905000,9903.78.01
7409909000,9903.78.01
7410110000,9903.78.01
7410120000,9903.78.01
7410213000,9903.78.01
7410216000,9903.78.01
7410220000,9903.78.01
7411101000,9903.78.01
7411105000,9903.78.01
7411211000,9903.78.01
7411215000,9903.78.01
7411220000,9903.78.01
7411291000,9903.78.01
7411295000,9903.78.01
7412100000,9903.78.01
7412200000,9903.78.01
7413001000,9903.78.01
7413005000,9903.78.01
7413009000,9903.78.01
7415100000,9903.78.01
7415210000,9903.78.01
7415290000,9903.78.01
7415330500,9903.78.01
7415331000,9903.78.01
7415338000,9903.78.01
7415390000,9903.78.01
7418100000,9903.78.01
7418201000,9903.78.01
7418205000,9903.78.01
7419200000,9903.78.01
7419800300,9903.78.01
7419800600,9903.78.01
7419800900,9903.78.01
7419801500,9903.78.01
7419801600,9903.78.01
7419801700,9903.78.01
7419803000,9903.78.01
7419805000,9903.78.01
8544421000,9903.78.01
8544422000,9903.78.01
8544429000,9903.78.01
8544491000,9903.78.01
